"4635","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","l’index apoptotique (p ∓ 0, 03), à l’expression de sialyl‐Tn22 2. 2 STn est un type d’antigène de mucine. (p ∓ 0, 02) et à la densité des microvaisseaux détectés par","Oui","2 termes","FR/Cancer du sein/Scientifique/page61","est un type","2 STn","antigène de mucine"
"4636","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","S scanner : examen qui permet d'obtenir des images du corps à l'aide de rayons X. C' est un type de radiographie dont les images sont reconstituées par ordinateur et grâce auxquelles on peut faire une analyse précise de différentes","Oui","résolution anaphore. ""C'"" = reprend à la fois scanner et examen","FR/Cancer du sein/Vulgarisation/page16","est un type","examen/scanner","radiographie"
"4637","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","On peut localiser sur chaque chromosome des segments particuliers : ce sont les gènes. Les gènes sont des sortes d'« instructions » qui signalent aux cellules comment fonctionner. Ils contrôlent notre croissance et notre développement. Ce","Plutôt non","présence de guillemets. Plutôt comparaison qu'hyperonymie","FR/Cancer du sein/Vulgarisation/page22","sont des sortes","",""
"4638","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","Cet appareillage s'appelle pompe de perfusion continue ambulatoire (PCA). C'est une sorte de réservoir qui contient les médicaments de chimiothérapie. Ce réservoir est relié au cathéter et permet ainsi de perfuser","Oui","résolution anaphore. ""C'"" = reprend appareillage et pompe de perfusion continue ambulatoire (?). 2 relations (imbriquées ?)","FR/Cancer du sein/Vulgarisation/page23","est une sorte","appareillage / PCA","réservoir"
"4639","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","L'extrémité extérieure du tuyau qui permet de brancher le cathéter aux perfusions de chimiothérapie est une sorte de « robinet », fermé par un bouchon et recouvert d'un pansement stérile. Le plus souvent,","Plutôt non","présence de guillemets. Plutôt comparaison qu'hyperonymie","FR/Cancer du sein/Vulgarisation/page23","est une sorte","",""
"4640","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","Le carcinome tubulaire. Le carcinome tubulaire est un type spécial de carcinome du sein invasif qui représente environ 2 % de tous les cancers du sein.","Oui","adj ""spécial"" est un indice supplémentaire. 2 termes du domaine","FR/Cancer du sein/Vulgarisation/page55","est un type","carcinome tubulaire","carcinome du sein"
"4641","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","que les carcinomes invasifs plus communs. Les formes rares de cancers invasifs. La maladie de Paget du sein. C'est un type rare de cancer du sein représentant 1 % de tous les cas. Il se voit surtout chez la femme","Oui","résolution anaphore. ""C'"" = reprend ""maladie de Paget du sein"". Présence de l'adj ""rare"" en plus","FR/Cancer du sein/Vulgarisation/page55","est un type","maladie de Paget du sein","cancer du sein"
"4642","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","plus mobile, donc sans orientation préférentielle des minéraux, dans le coeur du dôme ; — la zone interne est une sorte d’aiguille massive, de forme subcylindrique, sans diaclases ni minéraux orientés, qui traverse la carapace formée par","Plutôt non","plutôt comparaison","FR/Volcan/Scientifique/28","est une sorte","",""
"4643","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","Sur Terceira, le lieu-dit Lagoa da Fajânzinha, sur le littoral nord de l’île, est un autre type de fajâ détritique ; une coulée de lave épaisse (Biscoito das Calmeiras), issue de la Caldeira de","Oui","termes du domaine","FR/Volcan/Scientifique/lave10","est un autre type","le lieu dit Lagoa da Fajânzinha","fajâ détritique"
"4644","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","où la lave est trop visqueuse pour couler est bien représenté par la montagne Pelée à la Martinique. C'est un type de volcan particulièrement dangereux et il est caractérisé par deux phénomènes déjà décrits : les nuées ardentes et la formation","Oui","résolution anaphore. ""C'"" reprend la montagne Pelée","FR/Volcan/Vulgarisation/corpusFR","est un type","montagne Pelée","volcan"
"4645","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","L'oxydation de ce dernier par l'oxygène atmosphérique provoque un dépôt de soufre libre. Les soffioni de Toscane sont une variété de ce type d'activité volcanique : il s'agit de jets de vapeurs d'eau à une température élevée","Oui","","FR/Volcan/Vulgarisation/corpusFR","sont une variété","les soffioni de Toscane","ce type d'activité"
"4646","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","lopolithes, soit en couches plus ou moins ramifiées : filons, necks, dykes, sills. Les laccolithes sont des sortes de coupoles. Ils sont peu nombreux en Europe, plus fréquents en Afrique du Sud et en Amérique ;","Plutôt non","comparaison","FR/Volcan/Vulgarisation/corpusFR","sont des sortes","",""
"4647","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","Naissance d'une Chaîne de montagnes. Les croûtes continentales sont des sortes de radeaux insubmersibles, car leur densité est faible. Elles ne peuvent pas, comme les croûtes océaniques,","Plutôt non","comparaison","FR/Volcan/Vulgarisation/corpusFR","sont des sortes","",""
"4648","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","l'Ol Doinyo Lengaï est hérissé d'étranges cheminées éruptives façonnées par les projections de matières en fusion. Chacune est une sorte de volcan miniature, que les scientifiques appellent hornito. Dans le nord de la Tanzanie, l'Ol Doinyo","Plutôt oui","car ""cheminée"" : apparait dans le corpus de vulgarisation pour désigner des volcans. Accompagné de plus par l'adj ""éruptives""","FR/Volcan/Vulgarisation/corpusFR","est une sorte","cheminée éruptive","volcan miniature"
"4649","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","EMISSIONS DE GAZ DU PITON DE LA Fournaise sous surveillance Un énorme panache de magma Le volcan de la Réunion est une sorte de chalumeau qui a percé la plaque océanique. C'est ce qu'on appelle un "" point chaud ""","Plutôt non","comparaison","FR/Volcan/Vulgarisation/corpusFR","est une sorte","",""
"4650","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X",", elles perdent leur structure, mais apportent des masses orageuses où peuvent apparaître des mouvements tourbillonnaires. Un cyclone est une sorte de pompe à énergie, s'amorçant par la création d'une dépression qui attire l'air environnant. Des","Plutôt non","comparaison","FR/Volcan/Vulgarisation/corpusFR","est une sorte","",""
"4651","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","Ce silicate de magnésium et de fer (dont la pierre verte semi-précieuse connue sous le nom de péridot est une variété ) est en effet très présent dans le roches du manteau éjectées lors d'éruptions volcaniques ou extrudées lors de","Oui","reformulation nécessaire. ","FR/Volcan/Vulgarisation/corpusFR","est une variété","la pierre verte semi-précieuse : péridot","silicate de magnésium et de fer"
"4652","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X"," Les volcans sont des sortes de lucarnes ouvertes sur l'intérieur du globe. Ils vomissent par intermittence des matériaux issus des profondeurs","Plutôt non","comparaison","FR/Volcan/Vulgarisation/corpusFR","sont des sortes","",""
"4653","Structure attributive","Y être DET indéfini {sorte/espèce/variété/type} de DET X","environnement et donner naissance, en fin de compte, à d'autres espèces. L'énorme cratère du Ngorongoro est une sorte de fenêtre qui donne accès aux profondeurs du temps. un hublot ouvert sur l'atelier de l'évolution.","Plutôt non","comparaison","FR/Volcan/Vulgarisation/corpusFR","est une sorte","",""
"4656","Structure attributive","Y être DET X + caractéristiques","Aux Etats-Unis, on retrouve principalement les œstrogènes conjugués équins et l’acétate de médroxyprogestérone. La généralisation récente en France du programme national de dépistage organisé des cancers du sein est un facteur susceptible de modifier fortement l’incidence des cancers. L’augmentation de cette incidence est une conséquence directe et évidente de","plutôt oui","détection terme","FR/Cancer du sein/Scientifique/page1","sein est un facteur susceptible","",""
"4657","Structure attributive","Y être DET X + caractéristiques","généralisation récente en France du programme national de dépistage organisé des cancers du sein est un facteur susceptible de modifier fortement l’incidence des cancers. L’augmentation de cette incidence est une conséquence directe et évidente de la première vague de dépistage d’un cancer ; elle est liée à l’importance de la","plutôt oui","","FR/Cancer du sein/Scientifique/page1","incidence est une conséquence directe","",""
"4658","Structure attributive","Y être DET X + caractéristiques","pas la survenue d’une RL, quel que soit le traitement adjuvant (tableau 5 (Tableau 5)). Dans ce modèle, les principaux facteurs de risque sont une taille tumorale supérieure à 2 cm et l’absence d’hormonothérapie chez les patientes RH-positives. Par ailleurs, on observe une","oui","","","risque sont une taille tumorale","",""
"4659","Structure attributive","Y être DET X + caractéristiques","lésions précancéreuses). Cette situation est observée de manière évidente pour le cancer du col et le cancer du côlon. Indicateurs du dépistage Participation Un fort taux de participation est un facteur considérable de l’impact du dépistage en termes de nombre de vies sauvées. Il s’agit d’un indicateur «","oui","","","participation est un facteur considérable","",""
"4660","Structure attributive","Y être DET X + caractéristiques","]. Si la prévalence est importante, incitant à préconiser un dépistage, en revanche l’absence de données d’observation sur la réduction de mortalité en cas de dépistage est une critique recevable . En reprenant les recommandations du Conseil de l’Europe3 (elles-mêmes s’inspirant des travaux de l’OMS4)","plutôt non","","","dépistage est une critique recevable","",""
"4661","Structure attributive","Y être DET X + caractéristiques","La capécitabine est une chimiothérapie orale non cytotoxique qui a obtenu, en février 2001, une première autorisation de mise sur le marché européenne en","oui","","","capécitabine est une chimiothérapie orale","",""
"4662","Structure attributive","Y être DET X + caractéristiques","l’on sous-estime actuellement, faute de critères de jugement adéquats, les conséquences des chimiothérapies sur la fertilité. Tamoxifène Lorsque le cancer du sein est hormonodépendant, le tamoxifène est l’hormonothérapie adjuvante de référence chez les jeunes femmes [5]. Ce SERM (modulateur sélectif des récepteurs des estrogènes)","oui","","","tamoxifène est l’hormonothérapie adjuvante","",""
